排名,股票代码,股票名称,最新价,5 日涨跌幅,5 日主力净流入 - 净额,5 日主力净流入 - 净占比,5 日超大单净流入 - 净额,5 日超大单净流入 - 净占比,5 日大单净流入 - 净额,5 日大单净流入 - 净占比,5 日中单净流入 - 净额,5 日中单净流入 - 净占比,5 日小单净流入 - 净额,5 日小单净流入 - 净占比
1,601669,中国电建,7.19,+34.79%,144.27亿,24.20%,144.27亿,29.03%,-30.91亿,-6.45%,-51.52亿,-9.68%,-61.83亿,-11.29%
2,300502,新易盛,394.03,+14.11%,111.96亿,15.02%,111.96亿,18.02%,-24.06亿,-4.03%,-40.10亿,-6.05%,-48.12亿,-7.06%
3,601611,中国核建,19.21,+35.07%,91.66亿,34.04%,91.66亿,40.85%,-19.75亿,-9.20%,-32.92亿,-13.80%,-39.51亿,-16.10%
4,002463,沪电股份,81.18,+22.19%,77.45亿,15.74%,77.45亿,18.89%,-16.74亿,-4.28%,-27.90亿,-6.43%,-33.48亿,-7.50%
5,002165,红宝丽,12.76,+35.00%,70.17亿,62.15%,70.17亿,74.58%,-15.21亿,-17.03%,-25.35亿,-25.54%,-30.42亿,-29.80%
6,300308,中际旭创,542.02,+4.73%,61.20亿,11.19%,61.20亿,13.43%,-13.30亿,-3.09%,-22.17亿,-4.63%,-26.61亿,-5.40%
7,002429,兆驰股份,11.94,+35.18%,57.59亿,26.06%,57.59亿,31.28%,-12.55亿,-7.24%,-20.92亿,-10.86%,-25.11亿,-12.67%
8,001309,德明利,320.05,+31.68%,45.00亿,13.54%,45.00亿,16.25%,-9.84亿,-3.79%,-16.40亿,-5.68%,-19.68亿,-6.63%
9,002470,金正大,3.22,+34.65%,44.39亿,81.01%,44.39亿,97.21%,-9.73亿,-22.82%,-16.23亿,-34.23%,-19.47亿,-39.93%
10,600930,华电新能,6.76,+18.55%,41.74亿,16.74%,41.74亿,20.08%,-9.18亿,-4.75%,-15.30亿,-7.12%,-18.36亿,-8.31%
11,300185,通裕重工,4.21,+69.79%,40.19亿,24.11%,40.19亿,28.93%,-8.87亿,-6.89%,-14.78亿,-10.33%,-17.73亿,-12.05%
12,601728,中国电信,6.18,+10.50%,39.39亿,32.51%,39.39亿,39.01%,-8.71亿,-9.36%,-14.52亿,-14.03%,-17.43亿,-16.37%
13,603659,璞泰来,32.41,+35.03%,38.33亿,36.22%,38.33亿,43.47%,-8.50亿,-10.50%,-14.18亿,-15.75%,-17.01亿,-18.38%
14,300035,中科电气,22.89,+46.62%,33.30亿,21.45%,33.30亿,25.75%,-7.41亿,-6.26%,-12.35亿,-9.40%,-14.82亿,-10.96%
15,301308,江波龙,326.17,+7.88%,32.93亿,10.92%,32.93亿,13.10%,-7.35亿,-3.21%,-12.25亿,-4.82%,-14.70亿,-5.62%
16,600036,招商银行,39.76,+2.31%,30.69亿,20.32%,30.69亿,24.38%,-6.87亿,-6.02%,-11.45亿,-9.03%,-13.74亿,-10.54%
17,002056,横店东磁,25.84,+35.00%,30.26亿,27.63%,30.26亿,33.16%,-6.79亿,-8.25%,-11.33亿,-12.37%,-13.59亿,-14.43%
18,300505,川金诺,38.90,+51.87%,29.04亿,14.51%,29.04亿,17.41%,-6.54亿,-4.36%,-10.90亿,-6.55%,-13.08亿,-7.64%
19,603169,兰石重装,12.80,+34.90%,27.95亿,40.31%,27.95亿,48.38%,-6.31亿,-12.22%,-10.53亿,-18.32%,-12.63亿,-21.38%
20,300750,宁德时代,397.00,+1.33%,27.47亿,3.83%,27.47亿,4.59%,-6.23亿,-1.17%,-10.38亿,-1.75%,-12.45亿,-2.04%
21,002273,水晶光电,27.62,+26.00%,26.20亿,14.42%,26.20亿,17.30%,-5.96亿,-4.44%,-9.93亿,-6.65%,-11.91亿,-7.76%
22,688308,欧科亿,93.38,+21.18%,26.06亿,33.49%,26.06亿,40.19%,-5.94亿,-10.38%,-9.90亿,-15.58%,-11.88亿,-18.17%
23,601012,隆基绿能,18.87,+-1.29%,25.19亿,7.53%,25.19亿,9.03%,-5.76亿,-2.35%,-9.60亿,-3.53%,-11.52亿,-4.12%
24,000651,格力电器,38.60,+6.65%,24.46亿,20.84%,24.46亿,25.01%,-5.61亿,-6.56%,-9.35亿,-9.85%,-11.22亿,-11.49%
25,688027,国盾量子,661.00,+5.92%,24.25亿,16.17%,24.25亿,19.40%,-5.58亿,-5.13%,-9.30亿,-7.70%,-11.16亿,-8.98%
26,603366,日出东方,10.32,+35.07%,23.40亿,53.67%,23.40亿,64.41%,-5.40亿,-17.18%,-9.00亿,-25.76%,-10.80亿,-30.06%
27,603986,兆易创新,278.33,+4.52%,20.80亿,6.32%,20.80亿,7.59%,-4.81亿,-2.04%,-8.03亿,-3.06%,-9.63亿,-3.57%
28,600941,中国移动,97.89,+5.25%,20.41亿,22.98%,20.41亿,27.57%,-4.74亿,-7.47%,-7.90亿,-11.21%,-9.48亿,-13.08%
29,300395,菲利华,113.90,+3.43%,20.29亿,8.94%,20.29亿,10.73%,-4.72亿,-2.93%,-7.88亿,-4.40%,-9.45亿,-5.13%
30,688568,中科星图,68.58,+-6.51%,20.22亿,21.68%,20.22亿,26.02%,-4.72亿,-7.17%,-7.88亿,-10.75%,-9.45亿,-12.54%
31,601615,明阳智能,22.15,+1.89%,20.03亿,11.48%,20.03亿,13.78%,-4.69亿,-3.83%,-7.82亿,-5.74%,-9.39亿,-6.70%
32,002213,大为股份,28.38,+22.44%,19.78亿,26.14%,19.78亿,31.37%,-4.65亿,-8.79%,-7.75亿,-13.18%,-9.30亿,-15.38%
33,300476,胜宏科技,278.23,+-2.83%,19.53亿,4.32%,19.53亿,5.18%,-4.60亿,-1.46%,-7.67亿,-2.20%,-9.21亿,-2.56%
34,600227,赤天化,4.37,+35.28%,18.70亿,20.21%,18.70亿,24.25%,-4.42亿,-6.91%,-7.38亿,-10.36%,-8.85亿,-12.09%
35,688981,中芯国际,107.06,+3.46%,18.45亿,9.29%,18.45亿,11.15%,-4.38亿,-3.20%,-7.30亿,-4.81%,-8.76亿,-5.61%
36,601218,吉鑫科技,6.94,+34.93%,18.02亿,22.47%,18.02亿,26.97%,-4.29亿,-7.82%,-7.15亿,-11.72%,-8.58亿,-13.68%
37,002475,立讯精密,49.33,+-2.59%,17.46亿,7.80%,17.46亿,9.36%,-4.17亿,-2.74%,-6.95亿,-4.10%,-8.34亿,-4.79%
38,300436,广生堂,111.17,+30.52%,17.21亿,19.66%,17.21亿,23.59%,-4.12亿,-6.96%,-6.88亿,-10.44%,-8.25亿,-12.18%
39,002487,大金重工,80.65,+35.00%,17.10亿,7.73%,17.10亿,9.27%,-4.11亿,-2.76%,-6.85亿,-4.14%,-8.22亿,-4.83%
40,300077,国民技术,23.22,+20.09%,16.48亿,17.02%,16.48亿,20.42%,-3.97亿,-6.13%,-6.62亿,-9.20%,-7.95亿,-10.73%
41,688361,中科飞测,163.75,+-15.82%,15.38亿,13.07%,15.38亿,15.68%,-3.72亿,-4.75%,-6.20亿,-7.13%,-7.44亿,-8.32%
42,600408,安泰集团,4.13,+35.46%,15.14亿,38.23%,15.14亿,45.87%,-3.67亿,-14.03%,-6.12亿,-21.04%,-7.35亿,-24.55%
43,600078,澄星股份,13.66,+20.61%,14.54亿,20.67%,14.54亿,24.81%,-3.54亿,-7.66%,-5.90亿,-11.48%,-7.08亿,-13.40%
44,600105,永鼎股份,27.61,+3.32%,14.24亿,8.68%,14.24亿,10.41%,-3.48亿,-3.24%,-5.80亿,-4.87%,-6.96亿,-5.68%
45,002531,天顺风能,12.42,+35.03%,13.77亿,17.31%,13.77亿,20.77%,-3.37亿,-6.53%,-5.62亿,-9.80%,-6.75亿,-11.43%
46,002352,顺丰控股,38.06,+6.75%,13.66亿,14.73%,13.66亿,17.68%,-3.36亿,-5.61%,-5.60亿,-8.42%,-6.72亿,-9.82%
47,300274,阳光电源,175.39,+4.62%,13.13亿,1.24%,13.13亿,1.49%,-3.24亿,-0.48%,-5.40亿,-0.71%,-6.48亿,-0.83%
48,002931,锋龙股份,81.58,+35.03%,13.03亿,34.42%,13.03亿,41.31%,-3.22亿,-13.37%,-5.38亿,-20.05%,-6.45亿,-23.39%
49,600522,中天科技,29.75,+-5.67%,12.74亿,5.32%,12.74亿,6.39%,-3.16亿,-2.09%,-5.27亿,-3.13%,-6.33亿,-3.65%
50,600104,上汽集团,14.63,+5.60%,12.52亿,13.19%,12.52亿,15.83%,-3.12亿,-5.22%,-5.20亿,-7.84%,-6.24亿,-9.14%
51,002903,宇环数控,31.03,+35.00%,12.36亿,16.03%,12.36亿,19.24%,-3.09亿,-6.41%,-5.15亿,-9.62%,-6.18亿,-11.22%
52,601208,东材科技,33.19,+13.47%,12.20亿,8.40%,12.20亿,10.07%,-3.06亿,-3.39%,-5.10亿,-5.09%,-6.12亿,-5.94%
53,600519,贵州茅台,1413.64,+5.42%,12.16亿,4.21%,12.16亿,5.06%,-3.06亿,-1.72%,-5.10亿,-2.58%,-6.12亿,-3.01%
54,603803,瑞斯康达,13.75,+35.00%,11.94亿,19.07%,11.94亿,22.88%,-3.01亿,-7.86%,-5.02亿,-11.80%,-6.03亿,-13.76%
55,002594,比亚迪,99.67,+2.03%,11.78亿,3.68%,11.78亿,4.41%,-2.98亿,-1.53%,-4.97亿,-2.30%,-5.97亿,-2.68%
56,600756,浪潮软件,17.63,+34.93%,11.74亿,36.44%,11.74亿,43.73%,-2.98亿,-15.34%,-4.97亿,-23.02%,-5.97亿,-26.85%
57,600226,亨通股份,6.02,+35.18%,11.64亿,17.55%,11.64亿,21.06%,-2.97亿,-7.47%,-4.95亿,-11.20%,-5.94亿,-13.07%
58,601186,中国铁建,7.51,+4.73%,11.49亿,11.62%,11.49亿,13.94%,-2.94亿,-5.00%,-4.90亿,-7.49%,-5.88亿,-8.74%
59,002517,恺英网络,19.27,+9.70%,11.33亿,8.79%,11.33亿,10.54%,-2.91亿,-3.82%,-4.85亿,-5.73%,-5.82亿,-6.69%
60,002460,赣锋锂业,70.03,+2.66%,11.29亿,4.61%,11.29亿,5.54%,-2.91亿,-2.03%,-4.85亿,-3.04%,-5.82亿,-3.55%
61,601800,中国交建,8.50,+9.73%,11.02亿,15.43%,11.02亿,18.52%,-2.85亿,-6.86%,-4.75亿,-10.29%,-5.70亿,-12.00%
62,002415,海康威视,31.94,+-2.59%,10.87亿,14.28%,10.87亿,17.14%,-2.82亿,-6.42%,-4.70亿,-9.63%,-5.64亿,-11.23%
63,002080,中材科技,45.98,+-0.25%,10.71亿,10.20%,10.71亿,12.24%,-2.79亿,-4.64%,-4.65亿,-6.95%,-5.58亿,-8.11%
64,601668,中国建筑,5.89,+5.42%,10.56亿,7.76%,10.56亿,9.31%,-2.76亿,-3.57%,-4.60亿,-5.35%,-5.52亿,-6.24%
65,300014,亿纬锂能,83.45,+7.52%,10.41亿,6.78%,10.41亿,8.13%,-2.73亿,-3.15%,-4.55亿,-4.73%,-5.46亿,-5.52%
66,600884,杉杉股份,18.92,+12.08%,10.20亿,10.49%,10.20亿,12.59%,-2.69亿,-4.94%,-4.47亿,-7.40%,-5.37亿,-8.64%
67,002240,盛新锂能,42.56,+14.81%,10.00亿,8.29%,10.00亿,9.95%,-2.64亿,-3.95%,-4.40亿,-5.92%,-5.28亿,-6.91%
68,600438,通威股份,38.72,+6.61%,9.85亿,5.35%,9.85亿,6.42%,-2.61亿,-2.58%,-4.35亿,-3.87%,-5.22亿,-4.51%
69,002129,TCL 中环,28.34,+8.96%,9.64亿,6.75%,9.64亿,8.10%,-2.56亿,-3.29%,-4.28亿,-4.94%,-5.13亿,-5.76%
70,601088,中国神华,32.45,+3.04%,9.50亿,4.59%,9.50亿,5.51%,-2.54亿,-2.27%,-4.22亿,-3.40%,-5.07亿,-3.97%
71,000858,五粮液,168.92,+4.30%,9.35亿,2.76%,9.35亿,3.31%,-2.50亿,-1.38%,-4.17亿,-2.07%,-5.01亿,-2.42%
72,600030,中信证券,21.34,+8.19%,9.21亿,6.23%,9.21亿,7.48%,-2.47亿,-3.16%,-4.12亿,-4.73%,-4.95亿,-5.52%
73,000002,万科 A,12.87,+5.46%,9.06亿,7.11%,9.06亿,8.54%,-2.44亿,-3.65%,-4.07亿,-5.47%,-4.89亿,-6.38%
74,601318,中国平安,48.92,+3.43%,8.92亿,3.51%,8.92亿,4.21%,-2.42亿,-1.82%,-4.03亿,-2.74%,-4.83亿,-3.19%
75,000333,美的集团,58.76,+5.08%,8.78亿,3.97%,8.78亿,4.77%,-2.38亿,-2.09%,-3.98亿,-3.14%,-4.77亿,-3.66%
