排名,股票代码,股票名称,最新价,3 日涨跌幅,3 日主力净流入 - 净额,3 日主力净流入 - 净占比,3 日超大单净流入 - 净额,3 日超大单净流入 - 净占比,3 日大单净流入 - 净额,3 日大单净流入 - 净占比,3 日中单净流入 - 净额,3 日中单净流入 - 净占比,3 日小单净流入 - 净额,3 日小单净流入 - 净占比
1,601669,中国电建,7.19,+20.87%,86.56亿,24.20%,86.56亿,29.03%,-18.55亿,-6.45%,-30.91亿,-9.68%,-37.10亿,-11.29%
2,300502,新易盛,394.03,+8.46%,67.18亿,15.02%,67.18亿,18.02%,-14.44亿,-4.03%,-24.06亿,-6.05%,-28.87亿,-7.06%
3,601611,中国核建,19.21,+21.04%,55.00亿,34.04%,55.00亿,40.85%,-11.85亿,-9.20%,-19.75亿,-13.80%,-23.71亿,-16.10%
4,002463,沪电股份,81.18,+13.31%,46.47亿,15.74%,46.47亿,18.89%,-10.04亿,-4.28%,-16.74亿,-6.43%,-20.09亿,-7.50%
5,002165,红宝丽,12.76,+21.00%,42.10亿,62.15%,42.10亿,74.58%,-9.13亿,-17.03%,-15.21亿,-25.54%,-18.25亿,-29.80%
6,300308,中际旭创,542.02,+2.83%,36.72亿,11.19%,36.72亿,13.43%,-7.98亿,-3.09%,-13.30亿,-4.63%,-15.97亿,-5.40%
7,002429,兆驰股份,11.94,+21.10%,34.55亿,26.06%,34.55亿,31.28%,-7.53亿,-7.24%,-12.55亿,-10.86%,-15.07亿,-12.67%
8,001309,德明利,320.05,+19.00%,27.00亿,13.54%,27.00亿,16.25%,-5.90亿,-3.79%,-9.84亿,-5.68%,-11.81亿,-6.63%
9,002470,金正大,3.22,+20.79%,26.63亿,81.01%,26.63亿,97.21%,-5.84亿,-22.82%,-9.73亿,-34.23%,-11.68亿,-39.93%
10,600930,华电新能,6.76,+11.13%,25.04亿,16.74%,25.04亿,20.08%,-5.51亿,-4.75%,-9.18亿,-7.12%,-11.02亿,-8.31%
11,300185,通裕重工,4.21,+41.87%,24.11亿,24.11%,24.11亿,28.93%,-5.32亿,-6.89%,-8.87亿,-10.33%,-10.64亿,-12.05%
12,601728,中国电信,6.18,+6.30%,23.64亿,32.51%,23.64亿,39.01%,-5.23亿,-9.36%,-8.71亿,-14.03%,-10.46亿,-16.37%
13,603659,璞泰来,32.41,+21.02%,23.00亿,36.22%,23.00亿,43.47%,-5.10亿,-10.50%,-8.50亿,-15.75%,-10.21亿,-18.38%
14,300035,中科电气,22.89,+27.97%,19.98亿,21.45%,19.98亿,25.75%,-4.45亿,-6.26%,-7.41亿,-9.40%,-8.89亿,-10.96%
15,301308,江波龙,326.17,+4.72%,19.76亿,10.92%,19.76亿,13.10%,-4.41亿,-3.21%,-7.35亿,-4.82%,-8.82亿,-5.62%
16,600036,招商银行,39.76,+1.39%,18.41亿,20.32%,18.41亿,24.38%,-4.12亿,-6.02%,-6.87亿,-9.03%,-8.24亿,-10.54%
17,002056,横店东磁,25.84,+21.00%,18.16亿,27.63%,18.16亿,33.16%,-4.08亿,-8.25%,-6.79亿,-12.37%,-8.15亿,-14.43%
18,300505,川金诺,38.90,+31.12%,17.42亿,14.51%,17.42亿,17.41%,-3.92亿,-4.36%,-6.54亿,-6.55%,-7.85亿,-7.64%
19,603169,兰石重装,12.80,+20.94%,16.77亿,40.31%,16.77亿,48.38%,-3.79亿,-12.22%,-6.31亿,-18.32%,-7.58亿,-21.38%
20,300750,宁德时代,397.00,+0.80%,16.48亿,3.83%,16.48亿,4.59%,-3.74亿,-1.17%,-6.23亿,-1.75%,-7.47亿,-2.04%
21,002273,水晶光电,27.62,+15.60%,15.72亿,14.42%,15.72亿,17.30%,-3.57亿,-4.44%,-5.96亿,-6.65%,-7.15亿,-7.76%
22,688308,欧科亿,93.38,+12.70%,15.63亿,33.49%,15.63亿,40.19%,-3.56亿,-10.38%,-5.94亿,-15.58%,-7.13亿,-18.17%
23,601012,隆基绿能,18.87,+-0.78%,15.11亿,7.53%,15.11亿,9.03%,-3.46亿,-2.35%,-5.76亿,-3.53%,-6.91亿,-4.12%
24,000651,格力电器,38.60,+3.99%,14.68亿,20.84%,14.68亿,25.01%,-3.37亿,-6.56%,-5.61亿,-9.85%,-6.73亿,-11.49%
25,688027,国盾量子,661.00,+3.55%,14.55亿,16.17%,14.55亿,19.40%,-3.35亿,-5.13%,-5.58亿,-7.70%,-6.70亿,-8.98%
26,603366,日出东方,10.32,+21.04%,14.04亿,53.67%,14.04亿,64.41%,-3.24亿,-17.18%,-5.40亿,-25.76%,-6.48亿,-30.06%
27,603986,兆易创新,278.33,+2.71%,12.48亿,6.32%,12.48亿,7.59%,-2.89亿,-2.04%,-4.81亿,-3.06%,-5.78亿,-3.57%
28,600941,中国移动,97.89,+3.15%,12.25亿,22.98%,12.25亿,27.57%,-2.84亿,-7.47%,-4.74亿,-11.21%,-5.69亿,-13.08%
29,300395,菲利华,113.90,+2.06%,12.17亿,8.94%,12.17亿,10.73%,-2.83亿,-2.93%,-4.72亿,-4.40%,-5.67亿,-5.13%
30,688568,中科星图,68.58,+-3.91%,12.13亿,21.68%,12.13亿,26.02%,-2.83亿,-7.17%,-4.72亿,-10.75%,-5.67亿,-12.54%
31,601615,明阳智能,22.15,+1.13%,12.02亿,11.48%,12.02亿,13.78%,-2.82亿,-3.83%,-4.70亿,-5.74%,-5.63亿,-6.70%
32,002213,大为股份,28.38,+13.46%,11.87亿,26.14%,11.87亿,31.37%,-2.79亿,-8.79%,-4.65亿,-13.18%,-5.58亿,-15.38%
33,300476,胜宏科技,278.23,+-1.70%,11.72亿,4.32%,11.72亿,5.18%,-2.76亿,-1.46%,-4.60亿,-2.20%,-5.53亿,-2.56%
34,600227,赤天化,4.37,+21.17%,11.22亿,20.21%,11.22亿,24.25%,-2.66亿,-6.91%,-4.43亿,-10.36%,-5.31亿,-12.09%
35,688981,中芯国际,107.06,+2.08%,11.07亿,9.29%,11.07亿,11.15%,-2.63亿,-3.20%,-4.38亿,-4.81%,-5.26亿,-5.61%
36,601218,吉鑫科技,6.94,+20.96%,10.81亿,22.47%,10.81亿,26.97%,-2.57亿,-7.82%,-4.29亿,-11.72%,-5.15亿,-13.68%
37,002475,立讯精密,49.33,+-1.55%,10.48亿,7.80%,10.48亿,9.36%,-2.50亿,-2.74%,-4.17亿,-4.10%,-5.00亿,-4.79%
38,300436,广生堂,111.17,+18.31%,10.33亿,19.66%,10.33亿,23.59%,-2.47亿,-6.96%,-4.12亿,-10.44%,-4.95亿,-12.18%
39,002487,大金重工,80.65,+21.00%,10.26亿,7.73%,10.26亿,9.27%,-2.47亿,-2.76%,-4.11亿,-4.14%,-4.93亿,-4.83%
40,300077,国民技术,23.22,+12.05%,9.89亿,17.02%,9.89亿,20.42%,-2.38亿,-6.13%,-3.97亿,-9.20%,-4.77亿,-10.73%
41,688361,中科飞测,163.75,+-9.49%,9.23亿,13.07%,9.23亿,15.68%,-2.23亿,-4.75%,-3.72亿,-7.13%,-4.46亿,-8.32%
42,600408,安泰集团,4.13,+21.27%,9.08亿,38.23%,9.08亿,45.87%,-2.21亿,-14.03%,-3.68亿,-21.04%,-4.41亿,-24.55%
43,600078,澄星股份,13.66,+12.37%,8.72亿,20.67%,8.72亿,24.81%,-2.12亿,-7.66%,-3.54亿,-11.48%,-4.25亿,-13.40%
44,600105,永鼎股份,27.61,+1.99%,8.55亿,8.68%,8.55亿,10.41%,-2.09亿,-3.24%,-3.48亿,-4.87%,-4.18亿,-5.68%
45,002531,天顺风能,12.42,+21.02%,8.26亿,17.31%,8.26亿,20.77%,-2.02亿,-6.53%,-3.38亿,-9.80%,-4.05亿,-11.43%
46,002352,顺丰控股,38.06,+4.05%,8.20亿,14.73%,8.20亿,17.68%,-2.02亿,-5.61%,-3.36亿,-8.42%,-4.03亿,-9.82%
47,300274,阳光电源,175.39,+2.77%,7.88亿,1.24%,7.88亿,1.49%,-1.94亿,-0.48%,-3.24亿,-0.71%,-3.89亿,-0.83%
48,002931,锋龙股份,81.58,+21.02%,7.82亿,34.42%,7.82亿,41.31%,-1.93亿,-13.37%,-3.22亿,-20.05%,-3.87亿,-23.39%
49,600522,中天科技,29.75,+-3.40%,7.65亿,5.32%,7.65亿,6.39%,-1.90亿,-2.09%,-3.17亿,-3.13%,-3.80亿,-3.65%
50,600104,上汽集团,14.63,+3.36%,7.51亿,13.19%,7.51亿,15.83%,-1.87亿,-5.22%,-3.12亿,-7.84%,-3.74亿,-9.14%
51,002903,宇环数控,31.03,+21.00%,7.42亿,16.03%,7.42亿,19.24%,-1.85亿,-6.41%,-3.09亿,-9.62%,-3.71亿,-11.22%
52,601208,东材科技,33.19,+8.08%,7.32亿,8.40%,7.32亿,10.07%,-1.84亿,-3.39%,-3.06亿,-5.09%,-3.67亿,-5.94%
53,600519,贵州茅台,1413.64,+3.25%,7.30亿,4.21%,7.30亿,5.06%,-1.84亿,-1.72%,-3.06亿,-2.58%,-3.67亿,-3.01%
54,603803,瑞斯康达,13.75,+21.00%,7.16亿,19.07%,7.16亿,22.88%,-1.81亿,-7.86%,-3.01亿,-11.80%,-3.62亿,-13.76%
55,002594,比亚迪,99.67,+1.22%,7.07亿,3.68%,7.07亿,4.41%,-1.79亿,-1.53%,-2.98亿,-2.30%,-3.58亿,-2.68%
56,600756,浪潮软件,17.63,+20.96%,7.04亿,36.44%,7.04亿,43.73%,-1.79亿,-15.34%,-2.98亿,-23.02%,-3.58亿,-26.85%
57,600226,亨通股份,6.02,+21.10%,6.99亿,17.55%,6.99亿,21.06%,-1.78亿,-7.47%,-2.97亿,-11.20%,-3.56亿,-13.07%
58,601186,中国铁建,7.51,+2.83%,6.89亿,11.62%,6.89亿,13.94%,-1.76亿,-5.00%,-2.94亿,-7.49%,-3.53亿,-8.74%
59,002517,恺英网络,19.27,+5.82%,6.80亿,8.79%,6.80亿,10.54%,-1.75亿,-3.82%,-2.91亿,-5.73%,-3.49亿,-6.69%
60,002460,赣锋锂业,70.03,+1.60%,6.77亿,4.61%,6.77亿,5.54%,-1.75亿,-2.03%,-2.91亿,-3.04%,-3.49亿,-3.55%
61,601800,中国交建,8.50,+5.84%,6.61亿,15.43%,6.61亿,18.52%,-1.71亿,-6.86%,-2.85亿,-10.29%,-3.42亿,-12.00%
62,002415,海康威视,31.94,+0.13%,6.52亿,14.28%,6.52亿,17.14%,-1.69亿,-6.42%,-2.82亿,-9.63%,-3.38亿,-11.23%
63,002080,中材科技,45.98,+-0.15%,6.43亿,7.76%,6.43亿,9.31%,-1.67亿,-3.53%,-2.79亿,-5.29%,-3.35亿,-6.17%
64,002255,海陆重工,13.50,+9.93%,6.37亿,11.81%,6.37亿,14.17%,-1.67亿,-5.43%,-2.78亿,-8.14%,-3.33亿,-9.50%
65,000912,泸天化,6.02,+15.75%,6.28亿,11.64%,6.28亿,13.97%,-1.65亿,-5.42%,-2.75亿,-8.12%,-3.29亿,-9.48%
66,002969,嘉美包装,26.47,+21.04%,6.19亿,6.01%,6.19亿,7.21%,-1.63亿,-2.83%,-2.71亿,-4.24%,-3.26亿,-4.95%
67,000777,中核科技,26.84,+14.55%,6.07亿,11.16%,6.07亿,13.39%,-1.60亿,-5.31%,-2.67亿,-7.97%,-3.20亿,-9.30%
68,600050,中国联通,5.07,+1.68%,5.77亿,8.77%,5.77亿,10.53%,-1.53亿,-4.23%,-2.55亿,-6.34%,-3.06亿,-7.40%
69,002323,雅博股份,2.54,+20.92%,5.62亿,15.14%,5.62亿,18.16%,-1.49亿,-7.38%,-2.49亿,-11.08%,-2.99亿,-12.92%
70,601668,中国建筑,5.89,+3.25%,5.53亿,7.23%,5.53亿,8.67%,-1.48亿,-3.57%,-2.46亿,-5.35%,-2.95亿,-6.24%
71,300014,亿纬锂能,83.45,+4.51%,5.44亿,6.30%,5.44亿,7.56%,-1.46亿,-3.15%,-2.43亿,-4.73%,-2.92亿,-5.52%
72,600884,杉杉股份,18.92,+7.24%,5.32亿,9.75%,5.32亿,11.70%,-1.43亿,-4.94%,-2.39亿,-7.40%,-2.86亿,-8.64%
73,002240,盛新锂能,42.56,+8.88%,5.20亿,7.70%,5.20亿,9.24%,-1.40亿,-3.95%,-2.34亿,-5.92%,-2.81亿,-6.91%
74,600438,通威股份,38.72,+3.97%,5.12亿,4.97%,5.12亿,5.96%,-1.39亿,-2.58%,-2.31亿,-3.87%,-2.77亿,-4.51%
75,002129,TCL 中环,28.34,+5.38%,5.00亿,6.25%,5.00亿,7.51%,-1.36亿,-3.29%,-2.27亿,-4.94%,-2.72亿,-5.76%
76,601088,中国神华,32.45,+1.83%,4.92亿,4.25%,4.92亿,5.10%,-1.34亿,-2.27%,-2.23亿,-3.40%,-2.68亿,-3.97%
77,000858,五粮液,168.92,+2.58%,4.83亿,2.55%,4.83亿,3.06%,-1.32亿,-1.38%,-2.21亿,-2.07%,-2.65亿,-2.42%
78,600030,中信证券,21.34,+4.91%,4.75亿,5.76%,4.75亿,6.91%,-1.30亿,-3.16%,-2.17亿,-4.73%,-2.61亿,-5.52%
79,000002,万科 A,12.87,+3.28%,4.67亿,6.57%,4.67亿,7.88%,-1.29亿,-3.65%,-2.15亿,-5.47%,-2.57亿,-6.38%
80,601318,中国平安,48.92,+2.06%,4.59亿,3.24%,4.59亿,3.89%,-1.27亿,-1.82%,-2.11亿,-2.74%,-2.54亿,-3.19%
81,000333,美的集团,58.76,+3.04%,4.50亿,3.66%,4.50亿,4.39%,-1.25亿,-2.09%,-2.08亿,-3.14%,-2.50亿,-3.66%
82,600900,长江电力,25.43,+0.71%,4.42亿,2.68%,4.42亿,3.22%,-1.23亿,-1.56%,-2.06亿,-2.33%,-2.47亿,-2.72%
83,601888,中国中免,98.45,+5.61%,4.34亿,4.61%,4.34亿,5.53%,-1.22亿,-2.71%,-2.03亿,-4.07%,-2.43亿,-4.75%
84,000568,泸州老窖,198.76,+3.97%,4.26亿,2.83%,4.26亿,3.40%,-1.20亿,-1.69%,-2.00亿,-2.54%,-2.39亿,-2.96%
85,600276,恒瑞医药,45.67,+1.18%,4.18亿,2.42%,4.18亿,2.91%,-1.18亿,-1.47%,-1.97亿,-2.20%,-2.36亿,-2.57%
86,601398,工商银行,4.89,+0.86%,4.10亿,1.52%,4.10亿,1.83%,-1.16亿,-0.94%,-1.94亿,-1.40%,-2.32亿,-1.64%
87,000001,平安银行,12.34,+1.87%,4.02亿,2.28%,4.02亿,2.73%,-1.14亿,-1.42%,-1.91亿,-2.14%,-2.29亿,-2.49%
88,601288,农业银行,3.45,+0.61%,3.95亿,1.34%,3.95亿,1.60%,-1.12亿,-0.85%,-1.88亿,-1.27%,-2.25亿,-1.48%
89,000725,京东方 A,4.23,+3.53%,3.87亿,2.90%,3.87亿,3.47%,-1.11亿,-1.87%,-1.84亿,-2.80%,-2.21亿,-3.27%
90,600887,伊利股份,32.56,+1.64%,3.79亿,1.76%,3.79亿,2.12%,-1.09亿,-1.16%,-1.81亿,-1.73%,-2.18亿,-2.02%
91,002304,洋河股份,112.34,+2.58%,3.71亿,2.07%,3.71亿,2.48%,-1.07亿,-1.38%,-1.78亿,-2.07%,-2.14亿,-2.42%
92,601857,中国石油,7.89,+1.07%,3.64亿,1.58%,3.64亿,1.89%,-1.05亿,-1.07%,-1.75亿,-1.60%,-2.11亿,-1.87%
93,000825,太钢不锈,5.67,+4.91%,3.56亿,2.97%,3.56亿,3.56%,-1.03亿,-2.05%,-1.72亿,-3.07%,-2.07亿,-3.58%
94,600028,中国石化,5.23,+0.80%,3.48亿,1.40%,3.48亿,1.68%,-1.02亿,-0.98%,-1.69亿,-1.47%,-2.03亿,-1.72%
95,000100,TCL 科技,4.56,+3.97%,3.41亿,2.37%,3.41亿,2.84%,-1.00亿,-1.69%,-1.67亿,-2.54%,-2.00亿,-2.96%
96,601988,中国银行,3.67,+0.57%,3.34亿,1.09%,3.34亿,1.31%,-0.98亿,-0.79%,-1.64亿,-1.19%,-1.96亿,-1.39%
97,000776,广发证券,15.89,+3.28%,3.26亿,2.10%,3.26亿,2.52%,-0.96亿,-1.56%,-1.60亿,-2.33%,-1.93亿,-2.72%
98,600016,民生银行,4.12,+1.03%,3.19亿,1.24%,3.19亿,1.49%,-0.95亿,-0.94%,-1.58亿,-1.40%,-1.89亿,-1.64%
99,000063,中兴通讯,28.45,+4.45%,3.11亿,2.37%,3.11亿,2.85%,-0.93亿,-1.82%,-1.54亿,-2.74%,-1.85亿,-3.19%
100,601601,中国太保,26.78,+1.83%,3.04亿,1.42%,3.04亿,1.70%,-0.91亿,-1.11%,-1.52亿,-1.67%,-1.82亿,-1.95%
